dataset_id,source_path,processed_path,n_obs,n_vars,has_umap,umap_status,error
pbmc_atlas_6_time0_one_per_sample__data_1,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_1.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_1.h5ad,6443,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_4,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_4.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_4.h5ad,5978,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_7,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_7.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_7.h5ad,4698,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_10,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_10.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_10.h5ad,5307,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_13,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_13.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_13.h5ad,7020,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_16,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_16.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_16.h5ad,6093,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_19,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_19.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_19.h5ad,8909,33766,True,computed_scanpy_normalized_log1p,
pbmc_atlas_6_time0_one_per_sample__data_22,data/raw/single_cell/pbmc_atlas_6_time0_one_per_sample/data_22.h5ad,data/single_cell/processed_pbmc_atlas_6_time0/pbmc_atlas_6_time0_one_per_sample__data_22.h5ad,8916,33766,True,computed_scanpy_normalized_log1p,
